x,y
1990.1156189134308,877.1186440677968
1991.0760018233807,805.084745762712
1992.0992706477145,790.2542372881356
1993.080891798931,805.084745762712
1994.0423107206498,737.2881355932205
1995.057291450831,688.5593220338984
1995.9822427582778,671.6101694915255
1997.0492312792674,635.5932203389832
1997.869130993328,588.9830508474578
1998.9637810285526,466.10169491525426
1999.9511002444988,504.2372881355933
2000.8812316107912,508.4745762711866
2002.0178401226638,557.2033898305086
2002.9541875595708,586.8644067796611
2003.9743483485972,559.3220338983051
2004.9435373585845,523.3050847457629
2006.0237868302183,741.5254237288137
2007.0235381873938,830.5084745762714
2007.9417554183417,786.0169491525425
2008.8995482988687,703.3898305084747
2010.0658903485144,673.728813559322
2011.0006837677677,697.0338983050848
2011.9854129542912,724.5762711864409
