x,y
1.9430110137506347  ,0.060255589643972485
3.6868475070077444  ,0.776866709338492
8.371686494360695	,3.6103140795020465
12.359414659986314	,6.433718851391603
15.002714812280665	,9.237755755181311
16.152206060873596	,12.02027280552673
17.402873728121484	,15.84148144878273
18.35424989515969	,19.31263380934513
19.708212858940122	,25.555543293530803
21.064294700598143	,33.18146202573553
22.77263998940561	,43.23266824111064
23.777517822852985	,49.124804114154536
24.281281038250164	,52.9352528306884
